time, pm25, pm10
1734257927, 16.4, 31.1
1734257937, 17.2, 21.3
1734257947, 16.6, 19.1
1734257957, 16.9, 18.8
1734257967, 16.9, 18.9
1734257977, 17.1, 19.1
1734257987, 17.0, 18.9
1734257997, 16.8, 18.7
1734258007, 16.8, 18.7
1734258017, 16.6, 18.4
1734258027, 16.3, 18.1
1734258037, 16.4, 18.2
